connector_id,node_id,type,x,y,z,roi,confidence
0,13,pre,4839,22748,15792,LH(R),0.992
1,2603,pre,5005,23177,15091,LH(R),0.996
2,2405,pre,5633,22218,15943,LH(R),0.986
3,3663,pre,6076,20337,14235,LH(R),0.973
4,1468,pre,4981,23732,14786,LH(R),0.989
5,5,pre,3894,22031,15251,LH(R),0.981
6,1981,pre,4594,22887,14560,LH(R),0.99
7,1981,pre,4674,22873,14570,LH(R),0.975
8,1454,pre,5105,23193,15316,LH(R),0.996
9,1455,pre,4999,23229,15338,LH(R),0.956
10,4022,pre,4981,21286,15494,LH(R),0.982
11,2602,pre,5038,21826,17045,LH(R),0.958
12,14,pre,4898,22737,15732,LH(R),0.941
13,2608,pre,4892,23493,14711,LH(R),0.968
14,1127,pre,4339,21319,16289,LH(R),0.974
15,1126,pre,4431,21414,16279,LH(R),0.946
16,2405,pre,5616,22258,15886,LH(R),0.995
17,5,pre,3823,21978,15237,LH(R),0.971
18,2608,post,4879,23517,14770,LH(R),0.877904
19,2598,pre,4730,21477,16830,LH(R),0.983
20,5,pre,3886,22029,15333,LH(R),0.992
21,5,pre,3890,22010,15332,LH(R),0.894
22,1110,pre,4842,21934,15799,LH(R),0.984
23,4031,pre,5552,22235,15722,LH(R),0.991
24,6,pre,3995,22097,15292,LH(R),0.93
25,1468,pre,5087,23760,14795,LH(R),0.832
26,4247,pre,5026,23501,14721,LH(R),0.969
27,4332,pre,5143,23174,15210,LH(R),0.982
28,15,pre,5024,22795,15553,LH(R),0.981
29,1456,pre,5013,23292,15372,LH(R),0.999
30,12,pre,4658,22668,15583,LH(R),0.986
31,15,pre,4962,22664,15505,LH(R),0.974
32,2605,pre,5028,23396,14920,LH(R),0.973
33,1127,pre,4396,21338,16261,LH(R),0.978
34,1972,pre,5010,23110,15137,LH(R),0.993
35,2407,pre,5775,22119,15882,LH(R),0.99
36,11,pre,4555,22551,15496,LH(R),0.983
37,2,post,3508,21926,15073,LH(R),0.970816
38,1586,post,4811,22303,16451,LH(R),0.998
39,1468,post,5069,23737,14787,LH(R),0.995914
40,1197,post,5002,22288,15089,LH(R),0.912421
41,4326,post,4717,23042,14713,LH(R),0.709283
42,4032,post,5580,22297,15705,LH(R),0.972818
43,2598,post,4753,21461,16768,LH(R),0.906707
44,2605,post,5058,23466,14956,LH(R),0.994098
45,1110,post,4859,21978,15758,LH(R),0.999685
46,141,pre,18080,16098,13878,,0.701
47,4315,pre,14982,12082,10714,CA(R),0.955
48,4315,pre,14932,12048,10729,CA(R),0.861
49,593,pre,15172,12215,10715,CA(R),0.984
50,592,pre,15168,12327,10692,CA(R),0.986
51,4315,pre,14952,12068,10605,CA(R),0.95
52,596,pre,15176,12037,10494,CA(R),0.957
53,4309,pre,15047,11894,10340,CA(R),0.873
54,4234,pre,14950,11851,10684,CA(R),0.975
55,3659,pre,14913,11962,10447,CA(R),0.963
56,4315,pre,14946,12105,10609,CA(R),0.905
57,707,pre,16355,14739,10924,CA(R),0.973
58,707,pre,16326,14694,10793,CA(R),0.926
59,701,pre,16193,15095,10880,CA(R),0.955
60,704,pre,16167,14989,10840,CA(R),0.966
61,701,pre,16219,15080,10938,CA(R),0.983
62,700,pre,16412,15157,10956,CA(R),0.931
63,4010,pre,16164,14992,10951,CA(R),0.981
64,4013,pre,16322,14886,10746,CA(R),0.969
65,4312,pre,16141,14791,10876,CA(R),0.988
66,702,pre,16418,14968,10908,CA(R),0.974
67,706,pre,16349,14808,10892,CA(R),0.969
68,706,pre,16213,14779,10901,CA(R),0.947
69,707,pre,16309,14662,10866,CA(R),0.845
70,707,pre,16289,14706,10866,CA(R),0.98
71,4310,pre,16204,14724,10814,CA(R),0.854
72,4310,pre,16196,14760,10828,CA(R),0.972
73,4010,pre,16142,15012,10926,CA(R),0.966
74,703,pre,16347,14963,10917,CA(R),0.984
75,704,pre,16196,14961,10794,CA(R),0.949
76,703,pre,16293,14946,10998,CA(R),0.972
77,700,pre,16254,15143,10872,CA(R),0.958
78,4013,pre,16325,15039,10754,CA(R),0.968
79,4314,pre,16235,15019,10755,CA(R),0.918
80,4013,pre,16453,14949,10857,CA(R),0.982
81,704,pre,16140,14902,10792,CA(R),0.927
82,1469,pre,5082,23782,14740,LH(R),0.996
83,1469,pre,5057,23760,14693,LH(R),0.964
84,4250,pre,4469,22367,15614,LH(R),0.981
85,3670,pre,4017,22320,15303,LH(R),0.993
86,4325,pre,5768,20290,14467,LH(R),0.99
87,1594,pre,5471,22316,16898,LH(R),0.963
88,4024,pre,5069,21332,15548,LH(R),0.81
89,1204,pre,5041,22672,14674,LH(R),0.979
90,2,pre,3611,21874,15111,LH(R),0.99
91,12,pre,4591,22572,15633,LH(R),0.991
92,3663,pre,6172,20414,14232,LH(R),0.991
93,1,pre,3499,21782,15103,LH(R),0.89
94,1,pre,3443,21832,15092,LH(R),0.977
95,3670,pre,3925,22264,15199,LH(R),0.983
96,1983,pre,4679,23028,14648,LH(R),0.854
97,37,pre,5925,20376,14576,LH(R),0.953
98,2595,pre,4647,21547,16564,LH(R),0.976
99,2603,pre,5100,23274,15075,LH(R),0.992
100,4031,pre,5650,22238,15729,LH(R),0.976
101,1456,pre,4933,23325,15345,LH(R),0.651
102,14,pre,4989,22658,15665,LH(R),0.971
103,4019,pre,4938,21176,15366,LH(R),0.988
104,4019,pre,4941,21125,15395,LH(R),0.996
105,3664,pre,5968,20467,14242,LH(R),0.984
106,3671,pre,4004,22398,15237,LH(R),0.959
107,2597,pre,4689,21526,16673,LH(R),0.969
108,2609,pre,4922,23465,14654,LH(R),0.944
109,3664,pre,6008,20412,14228,LH(R),0.978
110,2595,pre,4690,21444,16586,LH(R),0.982
111,1456,pre,4944,23294,15343,LH(R),0.951
112,1110,pre,4889,21853,15738,LH(R),0.974
113,1453,pre,5144,22912,15363,LH(R),0.98
